zbior_10**1
Graham:	A	2.214193344116211e-05
Jarvis	A	4.852294921875e-05
Graham:	B	1.9931793212890624e-05
Jarvis	B	5.9800148010253905e-05
Graham:	C	1.993417739868164e-05
Jarvis	C	4.983663558959961e-05
Graham:	D	0.000209348201751709
Jarvis	D	0.0001196146011352539
zbior_10**2
Graham:	A	0.0003489422798156738
Jarvis	A	0.0005229091644287109
Graham:	B	0.00029056549072265626
Jarvis	B	0.005089311599731445
Graham:	C	0.00040873289108276365
Jarvis	C	0.0005174112319946289
Graham:	D	0.003278934955596924
Jarvis	D	0.0012267780303955077
zbior_10**3
Graham:	A	0.005320281982421875
Jarvis	A	0.008005006313323975
Graham:	B	0.005335826873779297
Jarvis	B	0.5586178255081177
Graham:	C	0.006680855751037598
Jarvis	C	0.00539194107055664
Graham:	D	0.0491999626159668
Jarvis	D	0.011006429195404052
zbior_10**4
Graham:	A	0.07210536003112793
Jarvis	A	0.13170789003372194
Graham:	B	0.06728867053985596
