datasets
Graham:	A	0.00033954143524169924
Jarvis	A	0.0006379294395446778
Graham:	B	0.00028869152069091794
Jarvis	B	0.011142382621765137
Graham:	C	0.0011262130737304688
Jarvis	C	0.0012259864807128906
Graham:	D	0.0007773971557617187
Jarvis	D	0.00028902769088745117
datasets_smaller
Graham:	A	0.0003595113754272461
Jarvis	A	0.0006476855278015137
Graham:	B	0.0001395273208618164
Jarvis	B	0.0011368823051452637
Graham:	C	0.00037887334823608396
Jarvis	C	0.012986326217651367
Graham:	D	0.0005673980712890625
Jarvis	D	0.0002491593360900879
datasets_bigger
Graham:	A	0.00474445104598999
Jarvis	A	0.007706282138824463
Graham:	B	0.004304723739624023
Jarvis	B	0.5861644101142883
Graham:	C	0.006528761386871338
Jarvis	C	0.005351929664611816
Graham:	D	0.008959434032440185
Jarvis	D	0.0025084996223449707
